,Membrane,Solvent,Safe Percentage NFcat
0,DM300,Toluene,22.598870056497177
1,SS336,Toluene,14.689265536723164
2,GMT-oNF-2,Acetonitrile,20.903954802259886
3,GMT-oNF-2,Ethanol,20.903954802259886
4,GMT-oNF-2,Ethyl acetate,16.38418079096045
5,DM300,Ethanol,30.508474576271187
6,SS336,Ethanol,27.683615819209038
7,GMT-oNF-2,Toluene,22.033898305084744
8,SS336,Ethyl acetate,12.429378531073446
9,PMPerformance,Ethyl acetate,15.254237288135593
10,PMPerformance,Toluene,20.903954802259886
11,DM300,Ethyl acetate,27.11864406779661
12,PMPerformance,Ethanol,10.16949152542373
13,PMPerformance,Acetonitrile,11.864406779661017
14,SS336,Acetonitrile,25.423728813559322
15,DM300,Acetonitrile,31.07344632768362
