Membrane,Solvent,Affordable Percentage NFcat
DM300,Toluene,21.839080459770116
SS336,Toluene,5.747126436781609
GMT-oNF-2,Acetonitrile,28.735632183908045
GMT-oNF-2,Ethanol,21.839080459770116
GMT-oNF-2,Ethyl acetate,13.793103448275861
DM300,Ethanol,55.172413793103445
SS336,Ethanol,22.988505747126435
GMT-oNF-2,Toluene,20.689655172413794
SS336,Ethyl acetate,4.597701149425287
PMPerformance,Ethyl acetate,5.747126436781609
PMPerformance,Toluene,16.091954022988507
DM300,Ethyl acetate,41.37931034482759
PMPerformance,Ethanol,5.747126436781609
PMPerformance,Acetonitrile,5.747126436781609
SS336,Acetonitrile,17.24137931034483
DM300,Acetonitrile,66.66666666666666
